momentum_lbw,momentum_th,SSO_smoothing_factor,volume_trigger_duration,volume_power,sharpe,returns
1,0.12,1,1,3,0.307666667,0.058037037
1,0.12,1,1,4,0.194740741,0.045666667
1,0.12,1,1,5,0.072148148,0.031555556
1,0.12,1,9,1,-0.269851852,-0.121888889
1,0.12,1,9,2,0.044444444,0.012555556
1,0.12,1,9,3,0.102185185,0.036777778
1,0.12,1,9,4,0.025592593,0.031518519
1,0.12,1,9,5,-0.061296296,0.019703704
1,0.12,1,17,1,-0.315666667,-0.133111111
1,0.12,1,17,2,-0.174111111,-0.075518519
1,0.12,1,17,3,-0.150259259,-0.062222222
1,0.12,1,17,4,-0.193592593,-0.041555556
1,0.12,1,17,5,-0.252259259,-0.046962963
1,0.12,1,25,1,-0.332333333,-0.142037037
1,0.12,1,25,2,-0.329962963,-0.144851852
1,0.12,1,25,3,-0.205666667,-0.082925926
1,0.12,1,25,4,-0.245962963,-0.085481481
1,0.12,1,25,5,-0.283777778,-0.083148148
1,0.12,2,1,1,0.155666667,0.00662963
1,0.12,2,1,2,0.257777778,0.041185185
1,0.12,2,1,3,0.174296296,0.025074074
1,0.12,2,1,4,0.035444444,0.003962963
1,0.12,2,1,5,-0.027814815,0.000740741
1,0.12,2,9,1,-0.156777778,-0.128740741
1,0.12,2,9,2,0.00137037,-0.05362963
1,0.12,2,9,3,-0.035703704,-0.029666667
1,0.12,2,9,4,-0.059592593,-0.016518519
1,0.12,2,9,5,-0.111888889,-0.006074074
1,0.12,2,17,1,-0.150185185,-0.131666667
1,0.12,2,17,2,-0.093592593,-0.117851852
1,0.12,2,17,3,-0.162407407,-0.107296296
1,0.12,2,17,4,-0.20562963,-0.091555556
1,0.12,2,17,5,-0.240777778,-0.078518519
1,0.12,2,25,1,-0.146037037,-0.131703704
1,0.12,2,25,2,-0.13937037,-0.133888889
1,0.12,2,25,3,-0.080814815,-0.091407407
1,0.12,2,25,4,-0.156333333,-0.095925926
1,0.12,2,25,5,-0.189740741,-0.081555556
1,0.12,3,1,1,-0.023148148,-0.10562963
1,0.12,3,1,2,0.080481481,-0.070481481
1,0.12,3,1,3,0.008592593,-0.023444444
1,0.12,3,1,4,-0.077851852,-0.018148148
1,0.12,3,1,5,-0.079666667,-0.010740741
1,0.12,3,9,1,-0.34937037,-0.278888889
1,0.12,3,9,2,-0.160555556,-0.185148148
1,0.12,3,9,3,-0.155555556,-0.135407407
1,0.12,3,9,4,-0.266,-0.07137037
1,0.12,3,9,5,-0.270296296,-0.054
1,0.12,3,17,1,-0.327888889,-0.264666667
1,0.12,3,17,2,-0.24437037,-0.235962963
1,0.12,3,17,3,-0.274740741,-0.216703704
1,0.12,3,17,4,-0.389777778,-0.134111111
1,0.12,3,17,5,-0.348962963,-0.104074074
1,0.12,3,25,1,-0.327592593,-0.276555556
1,0.12,3,25,2,-0.283925926,-0.257814815
1,0.12,3,25,3,-0.223777778,-0.217333333
1,0.12,3,25,4,-0.353814815,-0.156740741
1,0.12,3,25,5,-0.323333333,-0.125481481
1,0.12,4,1,1,-0.158407407,-0.140518519
1,0.12,4,1,2,-0.04062963,-0.029296296
1,0.12,4,1,3,-0.122740741,0.034777778
1,0.12,4,1,4,-0.116148148,0.046555556
1,0.12,4,1,5,-0.129962963,0.052592593
1,0.12,4,9,1,-0.389777778,-0.237851852
1,0.12,4,9,2,-0.186407407,-0.139740741
1,0.12,4,9,3,-0.140888889,-0.089296296
1,0.12,4,9,4,-0.207333333,-0.007666667
1,0.12,4,9,5,-0.17862963,0.014444444
1,0.12,4,17,1,-0.385555556,-0.225222222
1,0.12,4,17,2,-0.371962963,-0.276555556
1,0.12,4,17,3,-0.361814815,-0.249333333
1,0.12,4,17,4,-0.367259259,-0.146333333
1,0.12,4,17,5,-0.306296296,-0.107592593
1,0.12,4,25,1,-0.37862963,-0.237481481
1,0.12,4,25,2,-0.395851852,-0.384703704
1,0.12,4,25,3,-0.327,-0.341592593
